field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
241,괴정1호,부산,사하구,부산 사하구 괴정동 487-24,정,부산광역시 사하구 괴정동 487-24,128.99271028661835,35.096362818058815
234,가야,부산,부산진구,부산 부산진구 가야동 478,정,부산광역시 부산진구 가야동 478,129.03065171175794,35.14765950365932
242,구서1호,부산,금정구,부산 금정구 구서2동 1024-1,정,부산광역시 금정구 구서동 1024-1,129.0862516518043,35.25798806586762
240,괘법,부산,사상구,부산 사상구 괘법동 516-1,정,부산광역시 사상구 괘법동 516-1,128.9806439310368,35.16792404752845
248,남산1호,부산,금정구,부산 금정구 남산동 99-6,정,부산광역시 금정구 남산동 99-6,129.0892887529646,35.267974807053896
231,상봉1호,서울,중랑구,서울 중랑구 상봉동 91-1,정,서울특별시 중랑구 상봉동 91-1,127.08866455341753,37.59674565164972
238,거제법조,부산,연제구,부산 연제구 거제동 891-14,정,부산광역시 연제구 거제동 891-14,129.06656347429424,35.19315668510409
247,남부민,부산,서구,부산 서구 충무동2가 3-1,정,부산광역시 서구 충무동2가 3-1,129.02255541901366,35.095454543424204
251,다대2호,부산,사하구,부산 사하구 다대동 1014,정,부산광역시 사하구 다대동 1014,128.9658907182633,35.058631508057466
244,국제신도시,부산,강서구,부산 강서구 명지동 3412-6,정,부산광역시 강서구 명지동 3412-6,128.91962583743415,35.09770447040257
239,광안2호,부산,수영구,부산 수영구 광안동 168-3,정,부산광역시 수영구 광안동 168-3,129.11237718837924,35.15368328159515
252,당감,부산,부산진구,부산 부산진구 당감동 367-2,정,부산광역시 부산진구 당감동 367-2,129.03463807502516,35.1647818369053
245,금곡(부산),부산,북구,부산 북구 금곡동 57-6,정,부산광역시 북구 금곡동 57-6,129.02004960447763,35.2640593874691
265,장전1호,부산,금정구,부산 금정구 장전동 134-19,정,부산광역시 금정구 장전동 134-19,129.0837758948594,35.23795561114984
243,구포1호,부산,북구,부산 북구 구포3동 1228-1,정,부산광역시 북구 구포동 1228-1,129.00842688929572,35.198347650413154
249,남포부평,부산,중구,부산 중구 중앙동1가 23-6,정,부산광역시 중구 중앙동1가 23-6,129.03563885077216,35.100430636188825
257,신호,부산,강서구,부산 강서구 신호동 317-15,정,부산광역시 강서구 신호동 317-15,128.87273333000252,35.0821657539073
255,명지법원네오,부산,강서구,부산 강서구 명지동 3432-1 2동 102호,정,부산광역시 강서구 명지동 3432-1,128.91025464520038,35.09339092939881
256,명지신도시,부산,강서구,부산 강서구 명지동 3256-5,정,부산광역시 강서구 명지동 3256-5,128.9097639358326,35.08588472389549
253,당리괴정2호,부산,사하구,부산 사하구 괴정동 577-42,정,부산광역시 사하구 괴정동 577-42,128.9833531122048,35.09999715934654
262,부곡2호,부산,금정구,부산 금정구 부곡1동 324-20,정,부산광역시 금정구 부곡동 324-20,129.09141113916039,35.224007837702906
246,기장,부산,기장군,부산 기장군 기장읍 동부리 134-2,정,부산광역시 기장군 기장읍 동부리 134-2,129.21431719702332,35.24758931336634
263,부산대,부산,금정구,부산 금정구 금강로 장전동 418-13,대,부산광역시 금정구 금강로,129.08912809486512,35.266058125824955
259,구서1호,부산,금정구,부산 금정구 구서2동 1024-1,정,부산광역시 금정구 구서동 1024-1,129.0862516518043,35.25798806586762
267,일광신도시,부산,기장군,부산 기장군 일광면 삼성리 833-4,정,부산광역시 기장군 일광읍 삼성리 833-4,129.22538277069563,35.26477797923515
260,남산1호,부산,금정구,부산 금정구 남산동 99-6,정,부산광역시 금정구 남산동 99-6,129.0892887529646,35.267974807053896
258,지사,부산,강서구,부산 강서구 지사동 1191-5,정,부산광역시 강서구 지사동 1191-5,128.8330674422346,35.149485029634334
280,수정1호,부산,동구,부산 동구 수정동 295-3,정,부산광역시 동구 수정동 295-3,129.0457033802888,35.12813645044561
